"k","error","cum_var_explained"
1,122.805297775258,0.404989301599067
2,95.418383933104,0.640784818416896
3,83.0759235304745,0.727704210903444
4,73.8627268214122,0.784750950307953
5,65.5732366960688,0.830353926820851
6,58.3371938466742,0.865729180702893
7,52.6281400118605,0.890723541343485
8,47.987633467477,0.909144915733885
9,43.3846393455555,0.925738699157897
10,39.1928475987765,0.939395592878524
11,35.4560645210345,0.950401147663545
12,33.1043375045923,0.956762520254953
13,31.0141888263532,0.96205003122557
14,29.0061233797838,0.966805208177888
15,27.3128725423368,0.970567623825695
16,25.7157967483161,0.973909011189114
17,24.5102522961095,0.976297937835597
18,23.3757921489019,0.97844126652771
19,22.2408485606904,0.980483889185687
20,21.1809410505429,0.982299681851709
21,20.2136821238555,0.983879391422541
22,19.3187875564297,0.985275169547445
23,18.555936463081,0.986415103841951
24,17.9344606323406,0.9873098367327
25,17.3138075067288,0.988172968895287
26,16.730152395838,0.988956916310741
27,16.1278566347735,0.989737719575799
28,15.5619728474383,0.990445237950587
29,15.0439394542615,0.991070775889549
30,14.5575545111031,0.991638822956532
31,14.1143820678225,0.992140149090331
32,13.6979851409049,0.992597064747082
33,13.2960569967182,0.99302512697625
34,12.9234780588243,0.993410546629176
35,12.5462481837702,0.993789617948049
36,12.1905810636903,0.994136736894563
37,11.8409695016815,0.994468217519934
38,11.5019044950607,0.994780485796043
39,11.1663205866114,0.995080615661525
40,10.8424338658155,0.995361857013549
41,10.5336878661192,0.995622244927767
42,10.231834544263,0.995869547930988
43,9.93827424795645,0.996103160458155
44,9.64623432882853,0.99632881572135
45,9.34957512880507,0.996551149882065
46,9.06209411302581,0.996759979889792
47,8.77888996038425,0.996959326562908
48,8.50657259657585,0.99714504153157
49,8.24131160989364,0.99732031811523
50,7.99348107772914,0.997479060216996
51,7.75069075731053,0.997629874251738
52,7.52580563511176,0.997765416615739
53,7.30365849714101,0.997895390695066
54,7.08290047788386,0.998020694422015
55,6.87404793579339,0.99813570050408
56,6.66757007672633,0.998246015516134
57,6.47032841280445,0.998348254171485
58,6.27327848870365,0.998447328059779
59,6.07458144272348,0.998544127684673
60,5.89352548336614,0.99862962034944
61,5.71717238724038,0.998710405582521
62,5.5394701683972,0.998789326530949
63,5.3691586304325,0.998862626670925
64,5.19652430780894,0.998934590669863
65,5.03058708963607,0.999001546339998
66,4.86661797522435,0.999065573640149
67,4.70917278640274,0.9991250568795
68,4.56644563548285,0.999177289286601
69,4.42222672485123,0.999228434892844
70,4.2762037929065,0.999278548138623
71,4.13631760862456,0.999324977378702
72,4.00235736610816,0.999367992405664
73,3.86898391284344,0.999409412273422
74,3.73476404918786,0.999449677956951
75,3.60409482254727,0.999487512842661
76,3.47468845889525,0.999523654230002
77,3.35634543667301,0.999555549014035
78,3.23564802599531,0.999586940024141
79,3.12309106472175,0.999615178024203
80,3.00758086692419,0.999643117546315
81,2.89586872570512,0.999669136917994
82,2.78694025346735,0.999693559694769
83,2.67810139354196,0.999717027259761
84,2.56579390853169,0.999740262827229
85,2.45500913678681,0.999762208243443
86,2.35697162262926,0.999780820830511
87,2.25880674291383,0.999798697707653
88,2.16461627024251,0.999815135974221
89,2.07224822497764,0.999830576315556
90,1.97897320533113,0.999845485088479
91,1.89080605878267,0.999858946281388
92,1.80597880800508,0.999871318572755
93,1.7233911784591,0.999882818702991
94,1.64300121550735,0.999893495897019
95,1.56314451772209,0.999903597380917
96,1.48425159998795,0.999913082821271
97,1.40936838735711,0.999921631845211
98,1.33719212687498,0.999929453058306
99,1.26821833043808,0.999936543133683
100,1.19856405010509,0.999943322189608
101,1.1278916105014,0.999949809063164
102,1.069040186957,0.999954910166443
103,1.01107548365253,0.999959667259779
104,0.955507104440598,0.999963978780611
105,0.898672518517169,0.999968136499032
106,0.844824211178328,0.999971840608073
107,0.789026768269526,0.999975437416514
108,0.732275628950154,0.999978843699331
109,0.679984258128986,0.999981757334834
110,0.628605991339183,0.999984409946645
111,0.575201349102326,0.999986946398169
112,0.525995086318177,0.999989084240873
113,0.475043637592397,0.999991096565233
114,0.419532151538837,0.999993055818426
115,0.361673506643744,0.999994839117596
116,0.295781349853799,0.999996548307152
117,0.228912584078508,0.999997932574325
118,0.150256494991751,0.999999109247444
119,0,1
